file,z0,method,w_min,w_max,mse,mae,avg_window_size,n_deviations,n_steps
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,3,8,21.601929164810567,3.6284854121300265,7.78125,64.0,64.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,10,40.68418218038953,4.8986279751626345,9.576923076923077,41.0,52.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,3,10,56.87771896258581,4.372940105444341,9.576923076923077,52.0,52.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,12,59.210726752606384,5.912172777644346,11.318181818181818,35.0,44.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,3,12,36.15773579663788,4.435979791331047,11.318181818181818,44.0,44.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,15,69.3058705740013,6.3965423633951435,13.833333333333334,32.0,36.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,3,15,37.17163811555452,4.555986836614575,13.833333333333334,36.0,36.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,8,49.58990682742926,5.275022845177571,7.888888888888889,56.0,63.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,4,8,20.987043021094067,3.461218839075139,7.888888888888889,63.0,63.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,10,55.99588136919028,5.72964945592135,9.745098039215685,43.0,51.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,4,10,33.738906085641155,4.038466074587881,9.745098039215685,50.0,51.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,12,59.395634173887785,6.000443547267859,11.55813953488372,36.0,43.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,4,12,34.44097583512227,4.3244043735476,11.55813953488372,43.0,43.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,15,64.98006229340653,5.866283331259905,14.2,28.0,35.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,4,15,42.420631644582905,4.888062726300451,14.2,35.0,35.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,8,34.4540141837241,4.4927192223783665,7.935483870967742,51.0,62.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,5,8,21.69213554242651,3.6401235792738893,7.935483870967742,62.0,62.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,10,40.80285915637193,4.908146100180932,9.86,39.0,50.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,5,10,57.33172921455278,4.392417580952193,9.86,50.0,50.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,12,56.52295443160904,5.609660651060466,11.761904761904763,36.0,42.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,5,12,28.979941796214373,4.009851006288455,11.761904761904763,42.0,42.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,15,67.32156749825049,6.247896378852589,14.17142857142857,30.0,35.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,5,15,32.512177366224925,4.23435943558014,14.17142857142857,35.0,35.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,8,33.03390875940135,4.0118063513808995,7.78125,48.0,64.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,3,8,21.87812305285089,3.5456648566487905,7.78125,64.0,64.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,10,49.3114076022219,4.980091008956963,9.576923076923077,40.0,52.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,3,10,41.34769434612444,4.582172949690351,9.576923076923077,52.0,52.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,12,57.25062073032446,5.481362508562459,11.55813953488372,34.0,43.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,3,12,59.118687572008824,5.1468615480205315,11.55813953488372,43.0,43.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,15,89.45526120088658,6.367278067316929,14.228571428571428,29.0,35.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,3,15,51.99106688760933,5.270478385178282,14.228571428571428,34.0,35.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,8,39.34693112749168,4.707315071458512,7.888888888888889,49.0,63.0
